"Timestamp","How old are you?","Do you watch Anime?","What's your favorite anime?","What are your favorite genres of anime?","What is your preferred length of a series?","Do you consider yourself an active anime watcher?"
"2021/02/05 4:52:51 PM AST","twenty-six years old","Yes","123456789","Action;Shounen;Drama;Adventure;Comedy;Romance;Fantasy;Slice-of-life;Isekai;123456789","About 100 episodes","3"
"2021/02/05 4:53:19 PM AST","27","Yes","Naruto","Action;Adventure","About 200 episodes","2"
"2021/02/07 3:15:30 PM AST","19","Yes","Mobile Suit Gundam: Iron Blooded Orphans","Action","<30 episodes","3"
"2021/02/07 11:32:18 PM AST","21","No","does Avatar count ?","Adventure","About 100 episodes","1"
"2021/02/08 3:23:51 PM AST","19","No","","I don't watch it","<30 episodes","1"
"2021/02/10 10:12:56 AM AST","24","No","Naruto ","none","<30 episodes","1"
"2021/02/10 10:13:40 AM AST","18","Yes","(Currently) Demon Slayer","Action;Drama;Adventure;Fantasy;Isekai","About 100 episodes","4"
"2021/02/10 12:00:10 PM AST","19","Yes","I am currently watching Attack on Titan","Action;Drama","About 100 episodes","1"
"2021/02/10 12:09:46 PM AST","22","Yes","Fruits Basket or Bleach","Action;Romance;Slice-of-life","About 100 episodes","2"
"2021/02/10 12:12:43 PM AST","twenty-one","No","nA","I dont watch","<30 episodes","1"
"2021/02/10 5:40:22 PM AST","24","Yes","Katekyo Hitman Reborn","Action;Shounen;Adventure;Comedy;Fantasy","<30 episodes","3"
"2021/02/12 1:20:15 PM AST","18","Yes","One Piece","Action;Shounen;Adventure;Fantasy",">500 episodes","5"
"2021/02/12 1:20:38 PM AST","18","Yes","Naruto","Shounen;Adventure;Fantasy",">500 episodes","5"
"2021/02/12 1:32:42 PM AST","20","Yes","Naruto","Action;Adventure","About 100 episodes","5"
"2021/02/12 1:33:59 PM AST","18","Yes","Vinland saga","Action;Shounen;Adventure","About 100 episodes","4"
"2021/02/12 1:37:32 PM AST","15","Yes","One piece","Action;Shounen;Drama;Adventure;Comedy;Romance;Fantasy;Slice-of-life;Isekai",">500 episodes","5"
"2021/02/12 1:38:44 PM AST","18","Yes","Death Note","Action;Shounen;Drama;Adventure","About 200 episodes","2"
"2021/02/12 1:48:31 PM AST","16 ","Yes","Attack on Titan","Action;Adventure;Fantasy","About 200 episodes","3"
"2021/02/12 1:55:25 PM AST","18","Yes","One piece ","Action;Shounen;Adventure;Romance;Slice-of-life",">500 episodes","5"
"2021/02/12 2:13:44 PM AST","16","Yes","naruto","Action",">500 episodes","4"
"2021/02/12 2:46:43 PM AST","18","Yes","Soul eater","Action;Adventure;Comedy;Slice-of-life","<30 episodes","3"
"2021/02/12 6:07:53 PM AST","18","Yes","One piece","Action;Shounen;Adventure",">500 episodes","5"
"2021/02/13 3:36:36 PM AST","20","Yes","Naruto","Action;Adventure","About 100 episodes","5"
